[ProyectoCoderhouse] Jul-11-2022 13:14:12 | warn: Insertando Users Data Mockup
[ProyectoCoderhouse] Jul-11-2022 13:30:06 | warn: creando carritos
[ProyectoCoderhouse] Jul-11-2022 13:30:06 | warn: Insertando Products Data Mockup
[ProyectoCoderhouse] Jul-11-2022 13:41:32 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 13:41:56 | warn: User logged: noe@cid.com
[ProyectoCoderhouse] Jul-11-2022 14:07:37 | warn: User logged: noe@cid.com
[ProyectoCoderhouse] Jul-11-2022 15:10:57 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 15:13:37 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 15:18:40 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:07:07 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:08:03 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:09:33 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:11:18 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:22:57 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:24:02 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:25:31 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:28:27 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:28:30 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 17:32:09 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:32:48 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:35:23 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:35:26 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 17:38:30 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:38:33 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 17:44:00 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:44:02 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 17:47:17 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:47:19 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 17:49:44 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:49:47 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 17:54:18 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 17:54:20 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 18:05:18 | warn: User created successfully
[ProyectoCoderhouse] Jul-11-2022 18:05:20 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 18:05:49 | warn: User logged: noe@coder.com
[ProyectoCoderhouse] Jul-11-2022 18:16:45 | warn: User logged: noe@coder.com
[ProyectoCoderhouse] Jul-11-2022 18:23:13 | warn: creando carritos
[ProyectoCoderhouse] Jul-11-2022 20:24:42 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 20:25:45 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 22:12:20 | warn: Email enviado
[ProyectoCoderhouse] Jul-11-2022 22:12:38 | warn: User logged: noe@coder.com
[ProyectoCoderhouse] Jul-11-2022 22:13:08 | warn: Email enviado
